f,Zdut_dq_11_re,Zdut_dq_11_im,Zdut_dq_11_abs,Zdut_dq_11_dB,Zdut_dq_11_pha_rad,Zdut_dq_11_pha_deg,Zdut_dq_12_re,Zdut_dq_12_im,Zdut_dq_12_abs,Zdut_dq_12_dB,Zdut_dq_12_pha_rad,Zdut_dq_12_pha_deg,Zdut_dq_21_re,Zdut_dq_21_im,Zdut_dq_21_abs,Zdut_dq_21_dB,Zdut_dq_21_pha_rad,Zdut_dq_21_pha_deg,Zdut_dq_22_re,Zdut_dq_22_im,Zdut_dq_22_abs,Zdut_dq_22_dB,Zdut_dq_22_pha_rad,Zdut_dq_22_pha_deg
-49.0,113.84874982083548,53.27905799567772,125.69882997336919,41.9866247043199,0.4377059491029338,25.07870355136613,-85.37353729636794,29.93000082308053,90.4679270225859,39.129892780586964,2.8044038721826268,160.6805059262101,1.9526059008417462,55.0863419941475,55.120937438510424,34.82633189965692,1.5353648810037286,87.9699276941195,24.959845777614607,-48.027419215267734,54.12602791376228,34.668123143546524,-1.0915132752822245,-62.53910395617267
-48.0,151.3004738074428,58.601032288757494,162.25262512410913,44.20383464167521,0.36952394414765555,21.17216242868862,-70.46226987295105,61.01671228456352,93.20928416024763,39.38918345282003,2.4279120965883054,139.109116163269,-2.783963617926865,63.469804350509634,63.53083123742292,36.05969075363243,1.6146310338083376,92.51154370806267,16.970530782559802,-45.99236270932786,49.023426467640775,33.808073255409205,-1.2173087379854697,-69.74665305096397
-47.0,157.52294346075962,70.54284061171954,172.59713229979266,44.74067151278404,0.4210444021769507,24.12406723234813,-64.54395414702711,64.7572357997838,91.42987260935202,39.22176229318271,2.3545449967931726,134.90549098989274,-12.81242806093713,65.88624903034915,67.12045980255107,36.53709845850665,1.7628620833612219,101.00455724023752,14.303115047170351,-47.947939858525096,50.03582753117341,33.98562173755813,-1.2808952098809927,-73.38988952470466
-46.0,159.82911860285316,75.52504307058058,176.7749396384509,44.94841395243817,0.44143617155798,25.292429554685203,-55.399716687026164,64.31666309991387,84.88675845684406,38.57679899271621,2.281847845856867,130.74025105861693,-15.01121351629477,60.827186412984105,62.65208007841168,35.93870988699599,1.8127464591087639,103.86272143421644,17.87314297868881,-46.37514797224242,49.70013671393705,33.92715166763517,-1.2029361457904588,-68.92316417752718
-45.0,154.30355568098327,82.90355520065356,175.16445632805224,44.868919709399684,0.493021638780601,28.248059110751832,-50.69277969014573,59.75740514794563,78.36265298424608,37.88218261406879,2.274308200285783,130.3082611883693,-16.651316961051084,61.08116287084262,63.3101477978988,36.02946654771167,1.8369389316053502,105.24884800425716,17.723426844796784,-43.60084166763615,47.065414618901855,33.45403777844885,-1.184705296920907,-67.87861348036103
-44.0,161.96697386359688,78.72291236615533,180.0849731486235,45.10954950892773,0.45241978801203486,25.921744421292995,-38.861988626896846,57.93208997190628,69.75945246739042,36.87206126437204,2.161668615640863,123.85448838210878,-15.208907253423163,58.43812628305756,60.38481152837865,35.61855430258243,1.8254047096409498,104.58798576572991,20.609567342156048,-40.8080737815206,45.71709911826093,33.201573307211504,-1.1031276288961775,-63.20455740002469
-43.0,148.27778877854516,94.24277482372972,175.69292316860992,44.8950853732503,0.5661730697898371,32.43932737292347,-42.30113838998708,53.671896697590945,68.33782850080702,36.69322349127411,2.2382655590811615,128.24316996484018,-19.595918949009246,56.205275031000134,59.52338179880665,35.493751950366025,1.9062671714929338,109.22106355088623,21.41588904259821,-39.95610956715378,45.33355264290761,33.128395092735026,-1.0787765621251664,-61.80934404740449
-42.0,148.78254974330383,106.03403502614708,182.7004753470687,45.23479354588385,0.6191840420188978,35.476632349533865,-41.017922230178854,56.269832713877065,69.6330669849369,36.856310481509695,2.200689086395849,126.09019667098313,-24.994072146777913,56.20650614604824,61.513209765253656,35.779367782864206,1.9892197613553406,113.97389684968184,19.749951220431512,-39.66089560977001,44.30628864820996,32.9293074505945,-1.1087737323868683,-63.528055300735346
-41.0,144.37245205231375,106.741158634464,179.5468737077464,45.08355695077958,0.636647444721472,36.477211620328724,-35.984832553669946,51.87313770255481,63.132642816722615,36.005079397095336,2.177287263768977,124.74937100154962,-25.78916584188763,52.91205491719945,58.86226830815403,35.39673987995183,2.0243106298990945,115.9844555166873,22.07876151845566,-38.72517992098692,44.5770262590681,32.982221865049574,-1.0526223811549047,-60.31081986118712
-40.0,117.45232274364929,121.45839056170081,168.95913338945903,44.55563346627641,0.8021646464365481,45.960648715418095,-46.117240142715204,44.34146282490357,63.97628594903871,36.12038048280889,2.3758227758376247,136.12461792655176,-31.77905290099771,46.11878944317985,56.00759718992387,34.96493882365111,2.1741486787472715,124.56954332616291,22.846671068341276,-40.17370229488076,46.21576284107718,33.29580251862464,-1.0537116866560767,-60.37323246900466
