f,Zdut_dc_11_re,Zdut_dc_11_im,Zdut_dc_11_abs,Zdut_dc_11_dB,Zdut_dc_11_pha_rad,Zdut_dc_11_pha_deg,Zdut_dc_12_re,Zdut_dc_12_im,Zdut_dc_12_abs,Zdut_dc_12_dB,Zdut_dc_12_pha_rad,Zdut_dc_12_pha_deg,Zdut_dc_21_re,Zdut_dc_21_im,Zdut_dc_21_abs,Zdut_dc_21_dB,Zdut_dc_21_pha_rad,Zdut_dc_21_pha_deg,Zdut_dc_22_re,Zdut_dc_22_im,Zdut_dc_22_abs,Zdut_dc_22_dB,Zdut_dc_22_pha_rad,Zdut_dc_22_pha_deg,Znet_dc_11_re,Znet_dc_11_im,Znet_dc_11_abs,Znet_dc_11_dB,Znet_dc_11_pha_rad,Znet_dc_11_pha_deg,Znet_dc_12_re,Znet_dc_12_im,Znet_dc_12_abs,Znet_dc_12_dB,Znet_dc_12_pha_rad,Znet_dc_12_pha_deg,Znet_dc_21_re,Znet_dc_21_im,Znet_dc_21_abs,Znet_dc_21_dB,Znet_dc_21_pha_rad,Znet_dc_21_pha_deg,Znet_dc_22_re,Znet_dc_22_im,Znet_dc_22_abs,Znet_dc_22_dB,Znet_dc_22_pha_rad,Znet_dc_22_pha_deg
11.0,9.255814511095618,-9.963792968976884,13.599532072554606,22.67047931181089,-0.8222177757668038,-47.10960839207175,-0.44723601388500533,0.42944343420267916,0.6200336404547252,-4.15169493688933,2.376487126661459,136.1626824248735,-0.6180348830670823,0.666132237264744,0.9086799624791313,-0.8317809714838188,2.3187578654398533,132.85503940246724,9.13218206516341,-9.872372813281679,13.448438356765271,22.57343713299108,-0.8243265579397124,-47.23043271049185,39.35715173643183,81.91504504136898,90.87937057954368,39.16930621003747,1.122900084997087,64.33743568521449,36.51894839886769,71.07532408374021,79.90829297243097,38.051837064445095,1.09616479089699,62.80561616923793,36.739077135296384,71.0319490619689,79.97060445123196,38.058607572175326,1.093468561725916,62.651133617135336,39.66483266251058,81.61159035526993,90.74001669859531,39.15597709703662,1.1183954581932276,64.07933958107185
12.0,7.984011360302365,-9.337620366792247,12.285584703862108,21.787916610897614,-0.8633852551383745,-49.46833121325463,-0.5403917650464596,0.6098342573855584,0.8148135254222426,-1.7788354116138931,2.2958947708529913,131.54508057603167,-0.37804651691852165,0.7452121951518529,0.8356197608704987,-1.559825966090691,2.0402672620508855,116.89870319422769,8.162837309729484,-9.32223933204769,12.39096683512181,21.862103891486363,-0.8516093278904493,-48.79362028209541,41.694890677527944,94.65722334046887,103.4333304072648,40.29321017157132,1.1558849283014996,66.2273279944577,38.40399778006218,79.84373647111354,88.59960101016058,38.9486353227352,1.1224724633420284,64.31293476915124,38.569168615018526,79.75908153884325,88.5951006296261,38.94819411531423,1.1203781928507246,64.19294190884074,41.81060830858986,94.19600546069796,103.0583058849997,40.26165998143309,1.1530533212625933,66.06508886188882
13.0,7.108373632537829,-8.836068618977745,11.34041817302353,21.09258138547313,-0.8933342338163948,-51.184281292232484,-0.3928261290089985,0.5731128524041456,0.6948170329108305,-3.1625908739140316,2.1716735883926703,124.42773109493073,-0.2628157206724442,0.6308258602301473,0.6833837640503918,-3.306706869161399,1.9655491018857136,112.61766796378083,7.1360514900846646,-8.860733385052601,11.376986727166612,21.120545028437864,-0.8927975945875972,-51.15353412930123,43.4486487449605,107.12819627618349,115.60378676821729,41.25944120515137,1.1854921270336063,67.92369552501249,39.82503204431225,88.63934608478326,97.17492913127582,39.751084651534136,1.1485305512582846,65.80595322893357,40.082666528839326,88.53483451039483,97.18558060661641,39.752036671463586,1.145671724452061,65.64215451857808,43.64720611022227,106.68768856951138,115.27073129608084,41.234380968055255,1.1824596020065463,67.74994463969415
14.0,6.234260889165822,-7.996977943737429,10.139904588644093,20.120677370517686,-0.9086330178286881,-52.06083704781911,-0.34565071897080557,0.7416004733375372,0.8181966032559008,-1.7428465561584456,2.0069477972549623,114.98963848578657,-0.11851278458321701,0.6554673911635476,0.666095174121848,-3.5292742561480317,1.7496703736350485,100.24872794836611,6.3021261424294135,-8.391844572597492,10.494753415194005,20.419444777036983,-0.9266668877723966,-53.09410168388143,45.63154281345903,119.0083120335737,127.45672219470022,42.107254910672516,1.2046541711476526,69.02159977959084,41.63665866326165,96.94317670137859,105.50635456500085,40.46557235275087,1.165124116265703,66.7566944709346,41.95773312505467,97.11512330372423,105.79129710562619,40.48899884085223,1.1629768794412187,66.63366686327659,45.54040480671827,118.82670212156103,127.25452293355221,42.09346454318977,1.204811947198423,69.03063968140823
15.0,5.534965914992931,-7.6041251642021965,9.405241474464471,19.46739900608771,-0.9415964937194473,-53.94950509444086,-0.27078049150818906,0.5642485669416377,0.6258582266592876,-4.070480695305588,2.0182315732604676,115.63615122787301,0.07228598657895002,0.46961303921151476,0.47514384185546155,-6.463497901510796,1.418068313090693,81.24932940133294,5.592139846123037,-7.768864396046494,9.57221406273156,19.620248042922416,-0.9468955708882475,-54.25311985152724,48.14123499895153,130.70854521375986,139.29214729884018,42.878532668621204,1.2179039202890438,69.78075448499965,43.6963886646036,105.23705319856512,113.94828541160994,41.134155894078866,1.1772396418992759,67.4508629563209,44.32276689275547,105.18548416610993,114.1424274504818,41.14894208778064,1.1719982039915846,67.15055068563031,47.84500181069728,130.21839122838398,138.729858402487,42.84339886009267,1.2186865537077125,69.82559607679525
16.0,5.066444579887061,-6.995147977570069,8.637184489703204,18.727443923978402,-0.9439603460141102,-54.08494385431735,-0.07806451737573905,0.6604367412794954,0.6650344037002793,-3.543117742036931,1.6884517646358737,96.74116002505178,0.1624165668261126,0.5489157124152593,0.572440040978907,-4.845399917253158,1.2831179500496517,73.51724315532302,4.915492721531176,-7.087419850494207,8.625171814671596,18.71535510080902,-0.9644111429460601,-55.256688206197175,49.96358985572242,141.9038286882145,150.44286924824647,43.54743215398061,1.2322566009111022,70.60310250934279,45.295162121433144,113.25037591983467,121.97253525933935,41.72524101872221,1.1903279211045046,68.20076611586934,45.79951397572695,113.14018592107712,122.05858081539662,41.731366321484856,1.1861560949220378,67.96173808275182,49.362605414294485,141.68444445508368,150.03715744385798,43.52397655103715,1.235549212832903,70.79175527603644
17.0,4.373422660174897,-6.346087847249561,7.707117277526003,17.737839352017758,-0.9673876861879309,-55.427231571494566,-0.0815026085813737,0.6771590504116416,0.6820462262632678,-3.3237237933597683,1.6905797564779477,96.8630849764409,0.1163645490041576,0.3079617891504718,0.32921295819226293,-9.650461576082472,1.2095259978094421,69.30073488583069,4.238734358663148,-6.670396577598068,7.9032309510568854,17.95609346468369,-1.004714377582218,-57.5658934515745,51.48495514774786,152.45350429785333,160.91231021665556,44.13178540089394,1.245112651340689,71.33969994016546,46.7439541336452,120.71363913358135,129.44798152509304,42.24190565789779,1.2013467261256456,68.83209713885829,47.258203270458736,120.56698885949683,129.49801766435667,42.24526240710672,1.1972346318778042,68.59649149349696,51.106271979186694,152.5584992067403,160.89110204055282,44.13064052877448,1.2475513867691437,71.47942918756495
18.0,3.892114841004498,-5.790600458407009,6.9770775833776515,16.873471045065077,-0.9790116022790429,-56.093232904929486,0.02191290444507077,0.7176249744776024,0.7179594552446525,-2.878001612666521,1.5402704972024461,88.25099879821704,0.31004859498793547,0.23716189833736845,0.3903535542005185,-8.170837239901815,0.6529807639914007,37.41304187993534,3.8075937173491594,-5.913513381269792,7.033307218290245,16.943191760451132,-0.998735342919213,-57.22331999982189,53.04961923346102,163.06759930827275,171.47974820654068,44.6842567427959,1.256272431543358,71.97910824607204,48.11518356512064,128.37892331992578,137.09930285121305,42.740704928227736,1.2122094585350522,69.45448585989726,48.50686418115983,127.89567414172205,136.78530380437454,42.720788786933554,1.2082882362589398,69.22981637294333,52.518134336014384,163.2567974646045,171.49617008124278,44.68508851309706,1.259560810077028,72.16751845749275
19.0,3.441899150569663,-5.245638710859858,6.274025442055813,15.950925509810377,-0.9901134307362746,-56.7293208204071,0.02562369090293304,0.6750933273837587,0.6755794359019255,-3.406471569535145,1.5328587622486796,87.82633766649663,0.15356943975666626,0.2832934407357195,0.3222401998371075,-9.8364056359775,1.0740493346050286,61.5384938617025,3.404105285170729,-5.050122826119115,6.0902933715393885,15.692764265044934,-0.9776900582980592,-56.0175140123782,54.415191048663075,173.4629177985676,181.79768114047855,45.191766788465166,1.2668192564764111,72.58339680199934,49.58298133688915,136.06461570205997,144.81730450606918,43.216409193365365,1.221344318702721,69.97787479394685,49.88609118916257,135.24276669238037,144.15001920479605,43.17629409168695,1.2174166146668524,69.75283392951508,54.21881840896985,174.09498823167402,182.34238453264663,45.21775259735981,1.2688843800155765,72.70171966496663
20.0,2.70412528586953,-4.724474526341234,5.443615812281962,14.717749338364257,-1.050944347263184,-60.21467560131162,-0.20653924667479218,0.6188570661045185,0.6524128514096599,-3.709549853882059,1.892915583646241,108.45607391747257,0.7179179051713958,0.5050337927866719,0.8777614997379278,-1.1324694408407228,0.6130511072340692,35.12524107033422,3.671490683523012,-4.133890959829572,5.528914749474524,14.85279787177806,-0.8445702191755468,-48.39030906119774,55.93592384805798,183.84330004387039,192.16447785102295,45.67346220368827,1.2754370602343261,73.07716058599985,51.31302251691329,143.62606609468776,152.51712409318787,43.666372149940536,1.2276612491519554,70.33980824816565,51.39904384420602,142.82793680850702,151.79486566110688,43.625141642946815,1.2253585991796305,70.20787612305553,56.16416575100118,184.96945692371756,193.3083379194,45.72501173492084,1.2760032401227888,73.10960030405394
