f,Zdut_re,Zdut_im,Zdut_abs,Zdut_dB,Zdut_pha_rad,Zdut_pha_deg
51.0,-41.596689817122204,27.832510143682082,50.049307933677206,33.987961531346464,2.551904586311428,146.21336251572313
52.0,-47.242335575237405,45.9951661048975,65.93476757842143,36.382289592574985,2.3695699568534554,135.76635778869957
53.0,-46.24532808448905,45.267632991300644,64.71312823745366,36.219847883146926,2.3668777626586612,135.61210642370824
54.0,-47.573887302877004,39.84265822137394,62.05410677184917,35.855410572241524,2.4444062307942462,140.05416043999176
55.0,-49.923602831065296,33.67635071029627,60.22011887066334,35.59483216894238,2.5481469048141676,145.9980632251757
56.0,-52.167661250510825,27.207991717157554,58.83655066052872,35.392944078863316,2.6608548313788947,152.45575173500498
57.0,-54.8849011444285,19.810694967682274,58.350801269016344,35.32093648246001,2.7951964849042317,160.1529614948156
58.0,-57.50606964647902,12.135792397777543,58.772659488129776,35.38350686342424,2.9336093984627962,168.08343727183043
59.0,-60.32274839914476,2.8204620358752135,60.38864943449501,35.619106338248436,3.0948704883594185,177.32301712258666
60.0,-64.70289206548462,-8.619106524995589,65.27444552753377,36.294863828097974,-3.0091617818279754,-172.4122699708096
61.0,-73.35940260662235,-27.56216592299575,78.36628701914655,37.882585409188714,-2.7821960223395212,-159.40808985813987
62.0,-102.3753553549606,-54.53440655415819,115.99446056716964,41.28874499099447,-2.6521357288023317,-151.95618395622628
63.0,-204.61387451846517,-22.37670518862979,205.83380329906228,46.27033397613942,-3.032664882430158,-173.75889844078606
64.0,-138.07781359522556,79.31610788643488,159.23733097954897,44.04089779288975,2.6201864713755563,150.12562634709505
65.0,-90.06880322845731,59.267820390544635,107.81958935579573,40.65395346863336,2.559594332914808,146.65395254162186
66.0,-78.20445992873405,43.66703544330067,89.56979143188538,39.043231258747944,2.6323459499742516,150.82231315187994
67.0,-72.21833570220454,32.02731242556516,79.00149842123928,37.952706572620045,2.7241748419305614,156.08372109833934
68.0,-69.81895349436567,24.431552647395723,73.97017663768868,37.38113311560417,2.804982668652789,160.71366852114744
69.0,-69.65067194611433,18.470430981628816,72.05812184058334,37.153658765250626,2.882372493465654,165.14777886018143
70.0,-67.70009042637489,12.447674819021557,68.83492465412772,36.75617682754274,2.959758582846463,169.58167517472396
71.0,-67.83351231540375,8.92608997116962,68.41827588603388,36.703442518695,3.0107561596658403,172.50362109186847
72.0,-67.6080186659916,5.044119113817388,67.79592410739339,36.62407169714151,3.0671223295630914,175.7331647342983
73.0,-67.62655233984138,1.625922438944817,67.6460952690602,36.604854658128005,3.1175546211404375,178.6227221928534
74.0,-67.22866592398236,-1.2555249141580151,67.24038864200963,36.55260429897521,-3.1229193843312277,-178.93010048177283
75.0,-66.87339728902128,-3.2642070085117334,66.95301570780585,36.51540286691954,-3.0928196224249183,-177.20551116019263
76.0,-66.65933356586454,-7.647272113978712,67.0965537284176,36.534004282614404,-3.0273703023260263,-173.45554134652537
77.0,-66.31128039754842,-10.084786117674408,67.0737565594885,36.53105260582601,-2.9906666439573066,-171.35257662930772
78.0,-65.95365921203917,-12.808637147604184,67.18590885771202,36.545563929216854,-2.949773808000884,-169.00958971668388
79.0,-65.83119670470656,-15.457749140387225,67.6216567976629,36.601716144113446,-2.9109618248113995,-166.78582688539373
80.0,-65.5501427607983,-17.397310500499,67.8195224740768,36.6270945505979,-2.882168894237267,-165.13611348368272
81.0,-65.39689293124718,-20.324499796237856,68.48239844681463,36.71157924307121,-2.840269204162883,-162.73543807951435
82.0,-64.8551725610845,-22.296494985500544,68.5808070568326,36.724051831462624,-2.8104616977925483,-161.02759376668484
83.0,-64.41169647479167,-24.200009520184736,68.80775467589189,36.75274772493243,-2.7822011453138633,-159.40838338294822
84.0,-63.53325787097832,-26.307659990058855,68.76458267053448,36.74729623237904,-2.7490101519389327,-157.50667954471803
85.0,-63.274563851001616,-28.254168638847958,69.2962370984669,36.81419304671202,-2.7216257855645836,-155.93767092682785
86.0,-62.86070523005706,-30.299266032121587,69.78190155122888,36.87485599526383,-2.692443216970854,-154.26563291105612
87.0,-62.20555231536585,-32.30821738860344,70.09530404876617,36.913778478014756,-2.6625628168003272,-152.55361209112294
88.0,-61.37563270399508,-33.904664820438136,70.1177194894555,36.916555652927066,-2.6368991459066122,-151.08319206210035
89.0,-61.005660730197036,-35.676389995259065,70.67174431285622,36.984916213191084,-2.6124211879674686,-149.68070838108866
90.0,-59.94591241336478,-37.07522222246211,70.484640297839,36.961889755244435,-2.5876971388552783,-148.264124714486
91.0,-59.472467518588076,-39.14387879690615,71.19843846613767,37.04940937471003,-2.5594850663943642,-146.64769203115836
92.0,-58.71692458305022,-40.937610324471244,71.57908333842968,37.09572264788305,-2.5327464028066053,-145.11567945775965
93.0,-58.232370539683465,-42.75669763121421,72.24364450246176,37.17599293752206,-2.5082526718532216,-143.7122920496018
94.0,-57.32865134509513,-44.434455562106734,72.53271748768493,37.21067897810508,-2.482230814415047,-142.2213494433033
95.0,-56.811449433069726,-46.233320790968044,73.2465749236563,37.295746429933494,-2.458491809343631,-140.8612046428715
96.0,-55.45963005535327,-47.923807359138834,73.29707959852489,37.301733424742835,-2.428957775371307,-139.16902914426134
97.0,-54.93915227749378,-49.77006631140898,74.13076253224229,37.399969348675725,-2.4055205488081297,-137.82617497869938
98.0,-53.48586553978639,-51.373134483551844,74.16155850037951,37.40357695805861,-2.376340068871496,-136.15425663416408
99.0,-52.67314907017498,-53.00215776546096,74.72408822303348,37.46921249038665,-2.3530811078697034,-134.821616332902
101.0,-50.11612648641348,-56.83342836936908,75.77377326105915,37.59037828178552,-2.293468751894071,-131.4060799286668
102.0,-48.98728575968304,-59.043194030937165,76.71931261081359,37.698094059824626,-2.2633779556326474,-129.6820043006992
103.0,-47.77875865009084,-61.34015120364661,77.75232425998504,37.81426760624724,-2.2325476291451074,-127.91555671195276
104.0,-46.64299028536278,-63.68347431696562,78.93765542401209,37.94568446005605,-2.202950359489355,-126.21975807556753
105.0,-45.50415049390185,-66.39420495190136,80.49110611345051,38.11495791065156,-2.171631300206781,-124.425308160356
106.0,-44.64857586407571,-69.49192123573725,82.59916733069429,38.339513385752085,-2.1418812257490414,-122.72075445372758
107.0,-43.50859512510149,-72.72233009030387,84.74393868308884,38.562172900776375,-2.109952991529364,-120.89140138563491
108.0,-42.92563438396891,-75.80579588188381,87.1156058152155,38.801919222389294,-2.086035904694337,-119.52105325173994
109.0,-42.53782172716164,-78.81002156179846,89.55716484940177,39.0420067294597,-2.0657371179675574,-118.3580184430593
110.0,-42.484309137731856,-81.35793471076134,91.78251501953339,39.25519908071391,-2.052038028634537,-117.57311844110454
111.0,-42.3829004126626,-84.05273410750308,94.13380029689807,39.474911840850034,-2.0378316003715966,-116.75915005968268
112.0,-42.57413144178558,-86.79464276445526,96.67402278084761,39.70619581494747,-2.0268277162240023,-116.12867393977461
113.0,-42.90016632472393,-89.01481246966422,98.81326383486412,39.89630488844473,-2.0198951825483773,-115.73146901882899
114.0,-43.44664447253049,-91.03042456478413,100.86698722757272,40.07498098363526,-2.0161001038466817,-115.51402702630185
115.0,-43.677928727848816,-93.11559601996098,102.85074467454095,40.24414880965193,-2.009396934472061,-115.12996371177472
116.0,-43.319928407608074,-94.20202730489744,103.68528413228626,40.31434244240838,-2.001821125128823,-114.69590181001142
117.0,-43.18563018882884,-95.95134919156573,105.22195619968328,40.44212743160841,-1.9937154525660619,-114.23148098205021
118.0,-43.502186489559556,-97.13531059498335,106.43170953130605,40.5414207589563,-1.9918620536229126,-114.12528904485376
119.0,-43.44588730881963,-98.80083458319328,107.93122828165247,40.662942389152555,-1.9850786374768832,-113.73662792900538
120.0,-42.568851522833185,-99.8365190736804,108.53311780614418,40.71124558135754,-1.9738399825412043,-113.0927004337871
121.0,-42.226550456415396,-101.1332631221462,109.594792180931,40.795798349240556,-1.966326034342455,-112.66218291451884
122.0,-41.859897041734335,-102.68442988497955,110.88887735543128,40.897759733548995,-1.9578850060119244,-112.17854761642907
123.0,-41.035049600864156,-103.71449387734347,111.53731006250284,40.94840332864454,-1.9475505070244032,-111.5864244410619
124.0,-40.791116567899124,-105.21285097823868,112.84351643681171,41.04953222412743,-1.9406552719850092,-111.1913565745539
125.0,-39.7565623750692,-106.96002353387937,114.10973177713983,41.14645369062204,-1.9266667826599508,-110.38987517446424
126.0,-39.155308709692065,-108.34903790488285,115.20699724871326,41.22957714671227,-1.9175741300210498,-109.86890455367673
127.0,-37.93972527512728,-109.93679071556147,116.29927216792586,41.311539936109355,-1.9031036177151623,-109.03980527115725
128.0,-36.43972836143595,-111.55770476347398,117.35832009342016,41.39027768484028,-1.8865150432334865,-108.08934996521882
129.0,-35.40214244407718,-113.2153674986721,118.62137719437465,41.483259237724,-1.8738609534856525,-107.36432402908815
130.0,-33.802752585154785,-115.49307346644832,120.33817391443009,41.608068339073576,-1.8555259822551224,-106.313807560085
131.0,-32.77042020450928,-116.67920018866705,121.19379603365493,41.66960777328672,-1.8446015353515501,-105.68788285899555
132.0,-31.389019888587317,-118.4612815152874,122.54936061771315,41.766220994597774,-1.829816661094437,-104.84077196343135
133.0,-29.75531216665637,-120.39558468125288,124.01804470671154,41.86969759782551,-1.8130872693854367,-103.88224842468448
134.0,-27.808589417813693,-122.27840348285001,125.40066030018824,41.965996465774836,-1.7944132341314787,-102.81230501815418
135.0,-26.273738701725748,-124.01928725017889,126.77181451493446,42.06045413064672,-1.7795616710959978,-101.96137313704861
136.0,-24.31443664225579,-126.33314161440882,128.6516789606593,42.18830916632438,-1.7609342358620639,-100.89409971499092
137.0,-21.65727468475173,-128.08898377453013,129.90698715297276,42.272650211664214,-1.7382921082793545,-99.59680136530493
138.0,-19.687159198075452,-129.96393657539528,131.44660150594893,42.37498724189549,-1.721135062459239,-98.61377505089973
139.0,-16.961676472406786,-132.13560221280486,133.21980273553626,42.491375724844744,-1.6984638376738035,-97.31480955430189
140.0,-14.384263841229597,-133.91241339744775,134.68274391392183,42.58623911519657,-1.677801503290507,-96.13094499925096
141.0,-11.553785125247412,-136.31328773174113,136.80205540472275,42.72185245122336,-1.6553532774182427,-94.84475639921382
142.0,-8.193642893973578,-138.57238613242427,138.81441561418487,42.84869138240636,-1.6298565344992453,-93.3839006386252
143.0,-5.321525614333524,-140.94853524728805,141.04895683137826,42.987397571039835,-1.6085334997791738,-92.1621807427542
144.0,-2.152819385515662,-143.18983168709113,143.20601429368858,43.11922515269267,-1.5858299166267786,-90.86136124829763
145.0,1.3236804143996415,-145.17314373697812,145.17917823268178,43.238086676168315,-1.5616786367047275,-89.47759483892506
146.0,3.877205969628064,-147.75415133564707,147.80501332176868,43.39378329836898,-1.5445614198781623,-88.49685055775255
147.0,7.817251235522001,-149.53042360696483,149.73462191810424,43.5064446066624,-1.5185652086515617,-87.00737737113774
148.0,11.606578624121434,-151.18181910599594,151.62669651336466,43.615513462293364,-1.4941743098055462,-85.60988180873053
149.0,14.334436332117585,-153.56122084455683,154.228806039048,43.7633099302556,-1.4777193267219815,-84.66708072608311
151.0,21.25833442054191,-157.13588012598757,158.56734091642053,44.00427486765939,-1.4363264176920156,-82.29544173689712
152.0,25.136149918869776,-159.0346468152905,161.0088349141378,44.136994147864954,-1.4140385254982317,-81.01843957995072
153.0,28.785927789599707,-160.54420004369874,163.1044751267702,44.249317540388525,-1.3933793743853224,-79.83475741285802
154.0,32.47659237351622,-162.4553549994994,165.6697661621121,44.3848651850432,-1.373486464303011,-78.69497762290833
155.0,37.21012259617961,-163.13834019887915,167.32815443453603,44.471380419585685,-1.346543322349596,-77.15124930215579
156.0,40.743668433015856,-165.68957428813695,170.6255594720896,44.64088176831118,-1.3296767674253576,-76.18486689007133
157.0,44.32608043003598,-167.38789123611423,173.1574645770815,44.76882436238299,-1.3119276184994497,-75.16791556666766
158.0,49.07746589759818,-168.4952077274309,175.49710164569672,44.88539896878049,-1.2873685535705908,-73.76078479745628
159.0,52.0583679602168,-170.42782359751607,178.20133762367604,45.018219192715335,-1.2743406800781183,-73.01434263030724
160.0,56.28478524675794,-172.2259756248256,181.18985548367954,45.16267757202655,-1.2549302407882736,-71.90220638050424
161.0,59.8064623344749,-173.49579387853314,183.51458642436958,45.273411786132826,-1.2388382069554165,-70.98020075809978
162.0,63.732934628339265,-174.7019097616328,185.96409392864487,45.38858196887543,-1.2209894937415948,-69.95754482120843
163.0,67.49696032354535,-175.93297521463913,188.43633253911807,45.50329286297717,-1.2044623847801987,-69.01061123016758
164.0,71.73087472474194,-177.4894524631581,191.4362142449758,45.6404819456248,-1.186724695055379,-67.99431647062285
165.0,75.6773087964346,-179.08530117262595,194.41862092598294,45.77475716428612,-1.1709798681193464,-67.09220433802429
166.0,79.49896625343472,-179.97000349373943,196.74676056520303,45.87815180865368,-1.154837183532664,-66.1672966411965
167.0,83.03674640269695,-181.64485731920172,199.72469913272857,46.00863551211222,-1.1420224097266587,-65.43306418669759
168.0,87.1639142935795,-182.92193340472716,202.62769227206311,46.13397596550976,-1.1261176502787402,-64.52178859616104
169.0,91.02831462186768,-183.67145371376375,204.9911143738308,46.23470072725667,-1.1106716653783393,-63.636798850945276
170.0,93.69802878095084,-187.95499128050474,210.01523598227465,46.44501605305973,-1.108338930569797,-63.50314299169255
171.0,99.23562083656495,-185.65858830606834,210.51560477698715,46.46568588156682,-1.079926505226022,-61.8752309337637
172.0,103.20385594780367,-186.50745697403005,213.15737704666634,46.574007350051936,-1.0653849639247592,-61.042061989586166
173.0,106.99181911360411,-188.28515338337252,216.56072668385258,46.7115940013755,-1.0540545423121626,-60.39287665108057
174.0,111.06120446076726,-188.27374257924194,218.59001185111592,46.792606272397386,-1.0378422153277498,-59.46397873878766
175.0,116.74467032306138,-191.3321566577082,224.13681585168038,47.01026395872623,-1.0229342212848507,-58.60981359912336
176.0,118.78562585350655,-191.0889681983275,225.0000415033532,47.04365196442063,-1.014627863741202,-58.13389436874565
177.0,123.17412398179913,-190.94819260779857,227.2291290280992,47.12928007645557,-0.9978977035365563,-57.175326798441716
178.0,127.4720010409272,-192.38785885752029,230.7860465564573,47.26419095217622,-0.9856295443926626,-56.47241305710178
179.0,130.826296177244,-192.49332021079482,232.742772384518,47.337524064839144,-0.973865397202913,-55.79837707355844
180.0,135.56871927592417,-193.61568981268599,236.35971100793927,47.471469006104,-0.9599395665556997,-55.000485751259184
181.0,138.83705638726926,-194.19990663355986,238.72438493535836,47.5579356614061,-0.9501281283417169,-54.43833175064459
182.0,143.2749127982693,-196.09176547783608,242.8573266870208,47.7070242020321,-0.9397931240943468,-53.84617962602051
183.0,147.36799168624276,-195.72089404647178,244.99794558319618,47.783248852545974,-0.9254100707871401,-53.022091375005886
184.0,150.76833354910016,-196.46721975895701,247.6498714737947,47.876762138536975,-0.9162538614030322,-52.497479220958425
185.0,155.13025778787872,-196.70830396563372,250.51856963181362,47.97679846751628,-0.9030262759454883,-51.73959440109253
186.0,160.25961869297453,-198.00856271449257,254.73620922804974,48.12181363427367,-0.8903758742578698,-51.014779775246815
187.0,164.57181900715753,-198.14802050888744,257.5781854950358,48.2181815898815,-0.8777029816745586,-50.28867651600044
188.0,168.55890986123256,-199.37481923187627,261.07934548207845,48.33545030524682,-0.8689571133734227,-49.78757517416811
189.0,172.806995435359,-199.11759371890375,263.6476318873405,48.42047749606315,-0.8560222652025491,-49.046462965334534
190.0,177.351927418825,-201.88189305218478,268.71919339992434,48.58597374473946,-0.8499911394128566,-48.700904911872655
191.0,181.02803471231658,-201.60080442739323,270.9502421065088,48.65779086821372,-0.8391133501672003,-48.07765349766375
192.0,185.80857980522242,-201.32521309935666,273.96472356625605,48.753892909924595,-0.8254575241976458,-47.295232303843136
193.0,189.66682183285613,-201.8312252003043,276.9645225837279,48.848482844618324,-0.8164595980182474,-46.77968910939333
194.0,193.76396813466826,-201.37348176308495,279.45617635808344,48.92627425102573,-0.8046536734370836,-46.10325945764289
195.0,197.9363884867,-202.3973447598396,283.0962717045055,49.03868299741706,-0.7965407958554136,-45.638425812506895
196.0,202.7539757744547,-201.95349542539768,286.17195705883597,49.13254147098322,-0.783420242646908,-44.8866734887827
197.0,206.43044834552595,-201.8641092089017,288.7259056455417,49.20971504541252,-0.7742146962657676,-44.35923453303142
198.0,211.20284602806254,-201.25590790308928,291.73718075735604,49.29983563548558,-0.7612866362387868,-43.618511256193635
199.0,217.38596113977437,-200.2489401999433,295.56098212021146,49.41294202014353,-0.7443876720603075,-42.65027193062401
200.0,215.8176789438286,-192.08028769622354,288.9153984580356,49.21541378511094,-0.7272692899614931,-41.66946088426965
201.0,227.30475999704484,-208.459484511294,308.4198609039771,49.78284673928235,-0.7421786005887552,-42.52370145866131
202.0,229.42066889908503,-209.04106615924545,310.37398515194155,49.837706250535064,-0.7389518163585939,-42.338820340873696
203.0,234.3328957744198,-209.59342506071548,314.39037814587584,49.94938492151435,-0.7297269718590418,-41.810275684384884
204.0,238.44914454049675,-209.6361843238958,317.4985422170898,50.03483471170778,-0.7211841740767424,-41.320809426225416
205.0,241.68484105000957,-210.16418091850556,320.28197784844957,50.110650035144985,-0.7157517170855242,-41.00955256824227
206.0,246.22204621682488,-208.69929583996938,322.77033960278834,50.177872383536226,-0.7031026096206076,-40.28481209589513
207.0,251.41900585860813,-209.61015642308038,327.3345905684871,50.29983802239918,-0.6949596315217772,-39.818253818164685
208.0,256.05147682977014,-208.646695764651,330.29653713021753,50.37808041036346,-0.6837378500832237,-39.175293103117326
209.0,260.05265565947684,-208.6370016921162,333.40183291431157,50.45935966163236,-0.6761342194274131,-38.73963715756309
210.0,264.4529518527575,-208.64647166878606,336.85117468025913,50.54876132359226,-0.6679814445063921,-38.27251756326847
211.0,268.7371219531331,-209.2524836992283,340.5968917209154,50.64481360567232,-0.6615871505692239,-37.906151507702646
212.0,273.5745243045739,-208.41483324215324,343.91825055357043,50.72910445883038,-0.6510237581677789,-37.300913705759285
213.0,277.05776024695905,-209.0301058661456,347.0656820710937,50.808233453261735,-0.6463519521237735,-37.033238936734065
214.0,282.2874249777275,-209.96121639477403,351.8094693019636,50.92615049493847,-0.6395117744632703,-36.64132562566757
215.0,286.8981719426918,-209.99830192383752,355.54162607907614,51.01780908686499,-0.6318559035579531,-36.20267653429589
216.0,291.5848708700227,-210.87403585562313,359.8466283270227,51.12234875623631,-0.6261270169492016,-35.87443551030541
217.0,295.5100869560832,-210.9572193959068,363.08285543115994,51.200114845102675,-0.6199773752160467,-35.52208699347812
218.0,299.60112227955875,-212.41254203287912,367.2600175407619,51.29947301250474,-0.6167303916094614,-35.33604853667262
219.0,306.06604560403025,-213.25648700274613,373.03452054795247,51.43498046404423,-0.6085523551774437,-34.86748156441377
220.0,309.19314445519115,-213.79722344230015,375.91176269136025,51.50171830954225,-0.6049769359276743,-34.662625131412156
221.0,313.9773450938487,-213.32585100579215,379.5914803305353,51.58632912847927,-0.5967872713985817,-34.19339191826715
222.0,319.60326968229947,-213.32306661884704,384.25639974278334,51.692422187057325,-0.5885530796699983,-33.7216074845178
223.0,323.5202852764637,-213.25550729399941,387.48327238293206,51.76505917588688,-0.582796011750051,-33.39175179033466
224.0,328.5539761835102,-213.5170647159608,391.83829852493284,51.8621376390531,-0.5762831681306264,-33.01859333831292
225.0,331.06521398921717,-210.78769554359155,392.47372970213434,51.87621184953749,-0.5669653125874118,-32.484719541574144
226.0,335.21874405771797,-212.26616922943148,396.77264644500315,51.970834483983886,-0.5644862785628327,-32.34268135469643
227.0,340.80450499967924,-213.28995362069705,402.04516530309814,52.08549687960492,-0.5592049501563532,-32.0400835267826
228.0,345.3791536298658,-212.53558701802007,405.53438264982765,52.16055362283366,-0.5516435777841939,-31.606848802531054
229.0,349.60503508364656,-211.64230585000576,408.6760895640277,52.22758458324237,-0.5443626661136947,-31.1896832928039
230.0,346.67874181542464,-216.39905990222087,408.674324069045,52.22754705981467,-0.5580283719361423,-31.972670560497505
231.0,358.6141102134413,-211.51825350430474,416.34607192777685,52.38908943209537,-0.5329015694001284,-30.5330108225253
232.0,362.8036425226264,-212.77682835059883,420.59536577407255,52.477289664208335,-0.53041848854341,-30.390740769245603
233.0,366.1397360921085,-212.2286507004957,423.20126006871936,52.53093904255,-0.5253131732037357,-30.098227747198866
234.0,370.2190695477657,-210.0724031785561,425.66721042855437,52.581403946535346,-0.5161245644511321,-29.57175924607771
235.0,375.52737391805334,-211.83361363631005,431.15459921936,52.6926604634906,-0.5136012758912731,-29.42718546110415
236.0,380.11483257462226,-209.0742926494301,433.8194852586645,52.746181094193645,-0.5028657005367089,-28.812082302642956
237.0,383.76652262046497,-210.25427152080576,437.5883940153676,52.82131589713249,-0.5012066375146002,-28.717024993529904
238.0,388.3078936729721,-207.8963615528435,440.4587579281979,52.878104995359436,-0.49155756675260276,-28.164173962644373
239.0,394.3763900886606,-209.6231186666572,446.62578176690477,52.99887578787097,-0.4885527625423429,-27.992011363133344
240.0,397.74720375285597,-207.97908123674947,448.8408808534471,53.0418481200647,-0.4817935391901795,-27.604736392268112
241.0,402.83248501489504,-207.48438534408794,453.12667229472333,53.12439253422547,-0.4756258086377383,-27.251351462439338
242.0,406.30554081799886,-204.56859360897923,454.89834247946237,53.15828708773849,-0.4664314230644771,-26.7245519738755
243.0,412.4595406351702,-206.80208256955956,461.40001518864574,53.28155208962889,-0.4647570405744232,-26.628616923904804
244.0,417.7340460761475,-205.13300308796832,465.3829414654531,53.356209205004824,-0.45647107254902136,-26.15386592686893
245.0,422.35124228804955,-203.90208328390403,468.9953426525415,53.42337059970276,-0.44977570432153,-25.770249585147692
246.0,426.59718277574626,-205.4119621194055,473.47569159772877,53.505953741718656,-0.4487486885968431,-25.71140591862956
247.0,432.00093369171907,-204.32979049900806,477.88646140677133,53.58649454137976,-0.44180267015462393,-25.31342837747037
248.0,436.8318889538077,-205.80298853927297,482.8840122624148,53.67685653289183,-0.44028299771817897,-25.22635756061971
249.0,440.692739037979,-202.9087928425223,485.16189921881323,53.717733749548486,-0.4314947742711641,-24.722829447687847
250.0,437.0414981446476,-197.0338269206353,479.4033792658422,53.6140218201244,-0.4235485200628796,-24.267542618615074
251.0,448.1775489910617,-200.10773442814,490.8219848352339,53.81848014706471,-0.41993292629206164,-24.060384355113413
