f,Zdut_re,Zdut_im,Zdut_abs,Zdut_dB,Zdut_pha_rad,Zdut_pha_deg
51.0,-31.859220234628484,30.077989015366803,43.814327989449836,32.832323100129585,2.3849452269838833,136.64729587604666
52.0,-41.14784303998778,47.90429021157444,63.15034447663937,36.00751447831649,2.2804688749576427,130.66124184602
53.0,-45.43891324681085,57.75706938385956,73.48859708052107,37.324399132923226,2.237389994972237,128.19300383670566
54.0,-48.97431331539246,62.65461315216197,79.52410901079807,38.00997623930722,2.23425098267841,128.0131516804297
55.0,-52.36694273098873,65.78826850517204,84.08562875961186,38.494435520303306,2.2430886519761897,128.5195128319248
56.0,-56.946575241399245,66.4426403970854,87.50735337479217,38.84089097951215,2.2793856424176364,130.5991771932464
57.0,-63.145651483204205,65.83396548368782,91.22217007145625,39.20200798797096,2.335354570892196,133.80596057870824
58.0,-70.57181595325855,63.630025904057696,95.02189959946944,39.55647416454337,2.40787491911788,137.961070460859
59.0,-78.12332049954827,61.15881981027183,99.2151926191772,39.93156359741301,2.477397031754477,141.94439409776913
60.0,-91.12875610817076,59.33450168887683,108.74296887840518,40.72802371694224,2.5644401533859855,146.93159760289845
61.0,-105.73184049871176,57.59142344373219,120.39931125019068,41.612480050546225,2.642832824208458,151.42316678578447
62.0,-120.78704190764721,66.05530693569628,137.66921612026695,42.77673679152581,2.6411525198564507,151.32689243811697
63.0,-127.25390410070929,80.14436126819477,150.38841295777888,43.54428752533163,2.5795499268853694,147.79732385381175
64.0,-126.35438852131924,89.42821115898211,154.7993425363686,43.795382236312996,2.5256795553150426,144.7107789220305
65.0,-121.47342983255977,87.52684522966307,149.7222187624242,43.505725087674506,2.517211994450168,144.22562342170303
66.0,-125.71056755038639,84.79474517383458,151.63540352746057,43.6160122266528,2.5481703380452743,145.99940585041847
67.0,-125.86668508998105,80.64723829653545,149.4871213864212,43.49207557872954,2.571757942588244,147.35087603955427
68.0,-129.83220587631845,77.39101525729932,151.1481753950946,43.58805817806038,2.604056888748273,149.2014693372442
69.0,-133.81667039385704,72.47000715165257,152.18016694648074,43.64716112399292,2.6452509225636915,151.56171361598686
70.0,-142.7087709444355,60.87943434906076,155.15185732414858,43.815139577881716,2.7383683275828283,156.89694792279371
71.0,-144.233590186016,64.396300914181,157.9563614083882,43.970742420452034,2.721676245784459,155.94056208446003
72.0,-149.47541748459898,62.2595322924163,161.92328366688216,44.18618604745638,2.74692633178992,157.38728544491528
73.0,-155.12661993678884,59.06300578066603,165.99008062188514,44.40164271744024,2.777798632183643,159.15613796133567
74.0,-161.58243236025115,58.153345538728196,171.72854755340435,44.69684993517575,2.7961265444214143,160.20624997984615
75.0,-169.8828984988491,59.93216517078844,180.14456312758634,45.11242318769864,2.802438782445416,160.56791457790342
76.0,-173.1400929841414,49.70660108732837,180.13394458072563,45.11191118643183,2.862022574761665,163.98181440500852
77.0,-179.13471607989675,45.137624659091465,184.73400245999719,45.33093679582565,2.894755221095049,165.85725689220578
78.0,-182.11345872467095,42.49741769523556,187.0062628882406,45.43712302829762,2.9123384459974666,166.86470146934366
79.0,-189.36276838981095,37.14299914198984,192.97113887189204,45.70984719922765,2.9479043254155073,168.90247625466858
80.0,-198.86742047156397,33.93567168014691,201.74211443671487,46.09593136616708,2.9725759699290655,170.31605735894257
81.0,-205.5519749215044,31.87619681335068,208.00890922605754,46.36163873241409,2.9877420483084385,171.18500964184526
82.0,-209.55281020687184,25.053553051793834,211.04516290622797,46.48750805402485,3.0226002372646286,173.18223675050447
83.0,-219.30659724900374,20.581351611410494,220.27023319343277,46.85911623141328,3.0480193324933267,174.63864362615
84.0,-225.37863871794303,15.229980881148627,225.89263624118703,47.07804147613692,3.0741201448641653,176.1341100168619
85.0,-230.52401647220694,8.821873080279063,230.69275587916255,47.26067914390246,3.1033425378220483,177.8084298006214
86.0,-240.01713717430493,3.8921534113020155,240.04869296775232,47.605986912753295,3.1253779268155495,179.07096458987806
87.0,-244.34179732309482,0.23149891651873478,244.34190698860624,47.759959180899784,3.140645215002587,179.94571576760524
88.0,-252.0147257467978,-8.018564262790717,252.14226017482713,48.032912829641006,-3.1097855441032567,-178.17758686791095
89.0,-255.6870653182175,-14.232680330222797,256.0828861139001,48.16761111527679,-3.0859855877931404,-176.81394981874553
90.0,-250.3383579221741,-31.470111541056994,252.30866288650714,48.03864324096737,-3.0165383422225545,-172.83491574874236
91.0,-268.50685198735766,-27.37111707784967,269.8983282909513,48.62400389222232,-3.040005317882997,-174.17947441202193
92.0,-275.1809611626506,-34.582492362621814,277.3454707840224,48.860421559727584,-3.016576229007439,-172.83708650161554
93.0,-282.70871123512296,-40.196536658561556,285.55205649332527,49.11370584441869,-3.0003557527485,-171.90772167028618
94.0,-288.55773123582964,-48.90794902042412,292.67311412795283,49.327656572203715,-2.9736972053970923,-170.38029941910088
95.0,-294.76383391436104,-61.78424671531726,301.1694056939918,49.57621703894436,-2.9349779174763584,-168.16184763549094
96.0,-303.54483404791773,-65.65365436013411,310.56379152763105,49.843016403484704,-2.9285839984936333,-167.79550306323222
97.0,-308.8985556193182,-77.38494636353855,318.4442613510075,50.060668538382586,-2.8961256127345743,-165.93577454943062
98.0,-318.8921858706653,-83.93394395367443,329.75313972271664,50.36377878688566,-2.8842251012410762,-165.25392546680624
99.0,-320.8089135133945,-98.43658230994778,335.57133329071445,50.51569706903233,-2.8438737129731195,-162.9419612215586
101.0,-332.1218907846763,-124.85016369356158,354.81335052770714,50.99999905247398,-2.782018547367223,-159.39792129125797
102.0,-332.22499684362157,-148.14856624912366,363.76014928715784,51.216302388630695,-2.7221298148903066,-155.9665496799426
103.0,-344.3843637341492,-159.5836425835722,379.56228601484645,51.58566107250564,-2.707661064065894,-155.13755132287733
104.0,-353.1495729181521,-170.35480234160445,392.0910347522886,51.86773824349849,-2.6921343759366434,-154.2479376232554
105.0,-361.802308336313,-189.30509250864216,408.33482384826067,52.22032838514725,-2.6595358002379923,-152.38017681758495
106.0,-364.65559081802985,-198.63748147121208,415.2475755017391,52.36614210847514,-2.6428073826088605,-151.42170908950345
107.0,-385.74595013885136,-230.90554744458098,449.57458768174035,53.05603509296809,-2.6022069765685965,-149.0954771768789
108.0,-404.51920550181666,-244.72772900384652,472.7868959300809,53.49330861701881,-2.597516355732528,-148.82672439967604
109.0,-429.3124748520752,-244.1084666152136,493.8604504683934,53.87208496416744,-2.624578992388337,-150.3772992625499
110.0,-445.7917595100535,-302.84232384884575,538.928349561645,54.63062059284654,-2.544870286504397,-145.81032682495058
111.0,-468.76798624241616,-263.291262060747,537.648317772232,54.60996582587523,-2.629836601579582,-150.67853807953747
112.0,-492.56814196842487,-266.2138236541307,559.9046118641808,54.962280894779695,-2.6461026109933745,-151.61051176846783
113.0,-503.70103670171756,-259.85673144321214,566.7806059232573,55.06829962315934,-2.665310234676241,-152.7110275399716
114.0,-493.44491070214997,-270.3855448904595,562.6688393571867,55.00505729117491,-2.64032095122949,-151.27924706541663
115.0,-519.1494403770939,-286.5625326468801,592.9875433437401,55.46091140813188,-2.63722698060801,-151.10197560686836
116.0,-521.761053240906,-278.0643318150473,591.231231674045,55.43514735027399,-2.6519460894705316,-151.94531842288447
117.0,-542.8676020519687,-285.94502082464777,613.5713392035703,55.75730129794347,-2.6567898880394054,-152.22284763769244
118.0,-537.6420242917673,-304.9818771886833,618.1204508007177,55.82146225326261,-2.625595962764724,-150.43556737300673
119.0,-538.03087772448,-302.21716360364246,617.1000237899891,55.8071112631398,-2.629803741627272,-150.6766553429551
120.0,-536.0741724582193,-319.87281634116835,624.2548654282124,55.90723871835767,-2.60360679183374,-149.17568068366958
121.0,-548.232535363008,-328.8345144797977,639.2894889983066,56.11395127911804,-2.6013140011461178,-149.04431345396193
122.0,-545.0356403787417,-329.13754273159213,636.7066603377538,56.078787857424636,-2.5983231856391935,-148.8729523481129
123.0,-570.2191033816882,-350.5155956597774,669.3362448442075,56.51288685744756,-2.590431954741073,-148.42081812248736
124.0,-574.1264539710993,-347.94956036368944,671.334552743052,56.53878000699243,-2.5967362110659957,-148.7820254028741
125.0,-570.6694748735056,-408.1361931445647,701.5973216218403,56.921758448463116,-2.520745693245898,-144.42808944876882
126.0,-580.717277992273,-368.375712567308,687.7014050939745,56.7479982336468,-2.5763007940116176,-147.61116225306856
127.0,-573.1396620935919,-397.942467039752,697.744422649469,56.87392747369736,-2.534688789599029,-145.22697002314746
128.0,-590.330026561708,-401.70119748200415,714.0401895683624,57.07445313234592,-2.544095458579273,-145.7659324549921
129.0,-585.6594157471765,-419.7268249075166,720.5328297865886,57.15307546900536,-2.519763578623164,-144.37181842588808
130.0,-583.5678246047817,-433.12905169117397,726.7407937723415,57.227590778186894,-2.5030967249496268,-143.41687805263228
131.0,-611.195318638136,-444.1211896596744,755.5152868274057,57.56486512247831,-2.5132079489215404,-143.99620851193444
132.0,-596.9146026000757,-458.65414397337406,752.7753094922514,57.533307321903635,-2.4864350090175296,-142.46223205027724
133.0,-619.0127287952009,-469.51642945769686,776.9314229333148,57.80765373622386,-2.4926785486140557,-142.81996051838098
134.0,-610.3178803578028,-487.6925367721296,781.2374322238254,57.855660878153174,-2.4674132138428067,-141.3723634680033
135.0,-616.1612090113542,-483.147417485367,782.9981242079149,57.87521443280312,-2.4766068154915977,-141.89911804100353
136.0,-629.3964123279806,-498.31146069799354,802.7790204746891,58.091920285498546,-2.471915324079216,-141.6303153834522
