f,Zdut_re,Zdut_im,Zdut_abs,Zdut_dB,Zdut_pha_rad,Zdut_pha_deg
51.0,-44.297731653661806,25.80387036144181,51.265278262093986,34.19646638034688,2.6141327477942458,149.77877353554715
52.0,-53.297788483410166,44.675833300852815,69.54555584901107,36.84538765222103,2.4439711826709996,140.02923401864464
53.0,-50.982463364662486,44.87580871781847,67.91943594294187,36.639881410476164,2.4198135564293413,138.64510399194313
54.0,-51.51199117624514,38.490159466505105,64.30379157327,36.16473162358602,2.4998809757326397,143.23262919452642
55.0,-52.98094718472538,31.72229440755318,61.75179938325797,35.81299234011881,2.6020934408543583,149.08897205962904
56.0,-54.04716327592177,24.081642311569713,59.16942922317682,35.4419475976679,2.7224311698842487,155.98381604923068
57.0,-54.81585478823382,17.27373105025774,57.47312172277904,35.18929574018805,2.8363200281377776,162.50916696072156
58.0,-56.37013432333135,9.218862399092957,57.118993929898906,35.135610987077605,2.979486106261404,170.71197900664558
59.0,-57.891191083744765,0.4090524358595086,57.892636224220546,35.25246652478377,3.1345268872640752,179.5951614105107
60.0,-60.215631874666876,-12.576894101759008,61.51504358538859,35.77962672109791,-2.935688465553742,-168.20255904146617
61.0,-65.48947237831786,-30.132160606003477,72.08895959282839,37.157375154290335,-2.7103656546673602,-155.2925129496521
62.0,-81.81681831046969,-65.98916489904434,105.11213841665325,40.433057430550235,-2.462871956637582,-141.11216859646055
63.0,-213.04206976469408,-95.37996255200281,233.41863838615424,47.362710626738576,-2.7206490353772743,-155.8817072634564
64.0,-151.7101919668786,91.74258804975469,177.29265300258257,44.9738147767055,2.5977078566114424,148.83769659181087
65.0,-89.31798792654398,60.888419095738286,108.09765282939551,40.67632528067426,2.543251791266157,145.71759387863742
66.0,-75.69240389877366,42.72254211061108,86.91694663509541,38.78208922576747,2.6277435139970997,150.55861299490996
67.0,-70.57555156028516,29.738638534609326,76.58521463004867,37.6828986761052,2.742798034418791,157.15075142897462
68.0,-68.94419118618877,22.87421136877847,72.63973460896801,37.22348497621011,2.8212419571464706,161.64525712972102
69.0,-66.81056644437504,15.662842783347104,68.62198213891887,36.72926516905835,2.911314664174786,166.80604309176184
70.0,-66.82092367419853,10.089923186815694,67.57841660315005,36.59616023632693,2.9917253855890134,171.4132380563993
71.0,-66.13710108486404,6.929314948746051,66.49910935921203,36.45631657434184,3.0372015360346305,174.01882954543515
72.0,-65.61440212809401,2.5641450433599653,65.66448512271009,36.34661086592279,3.1025335314834837,177.76207715182233
73.0,-65.01955731134564,-0.4991660344731737,65.0214733737504,36.26113612597662,-3.133915636878285,-179.56013934317917
74.0,-64.34163083999154,-3.3525564351498716,64.42891504441633,36.18161636146351,-3.0895341764718287,-177.01726897326228
75.0,-63.741469836966424,-6.83284213739068,64.1066510484786,36.13806179593225,-3.0348042625772504,-173.88147589398852
76.0,-63.580015341991384,-8.633074308326854,64.16345005453614,36.145754156446046,-3.0066351889307112,-172.26750686124865
77.0,-63.0586014731893,-11.17370803665649,64.04091638197376,36.12915075500992,-2.966217406297299,-169.95173849907695
78.0,-62.72442613332437,-13.50589164597186,64.1620038878743,36.14555838477897,-2.929509612855813,-167.84853685964183
79.0,-62.27132323255482,-15.812275381572167,64.24753497120334,36.157129389034395,-2.8929228510561846,-165.75226982247264
80.0,-61.74413232805806,-17.43591418653475,64.15877944961973,36.145121867574176,-2.8663692523912383,-164.230860688087
81.0,-60.995971084442296,-19.75648793103876,64.11573366891625,36.13929232426865,-2.8283575775462757,-162.05295214724705
82.0,-60.49931168192582,-21.6919618044496,64.27058363600338,36.16024487443169,-2.7973222784829854,-160.2747604949942
83.0,-60.27485340782965,-23.764176797792995,64.79038549207836,36.23021127866711,-2.7660412655654665,-158.48249047592614
84.0,-59.739853903453785,-25.526123818698913,64.96486082193627,36.2535702474353,-2.737785630917176,-156.8635618631155
85.0,-59.2417475365559,-27.534300962803545,65.32780710153426,36.30196160411857,-2.7065169726201916,-155.07199971166156
86.0,-58.32307820913696,-29.156632445313164,65.20498958929596,36.28561659813129,-2.678012350012788,-153.43880513964413
87.0,-57.85663795915698,-30.987616230809774,65.63248369218483,36.34237678646436,-2.6498776424677914,-151.82680513948097
88.0,-57.40881763947553,-32.52888296569903,65.98409330860508,36.38878506813895,-2.6260803061448756,-150.4633182045245
89.0,-56.90429059953741,-34.59332641404679,66.59426792919484,36.46873698164784,-2.5953690671720677,-148.70369382776494
90.0,-55.87600591197601,-35.90996921290381,66.42028248620204,36.44601436651137,-2.570385875035193,-147.2722623595576
91.0,-55.25224718976555,-37.81797000601427,66.9552811576111,36.515696761285334,-2.5413723271935664,-145.6099085195315
92.0,-54.438487042426985,-39.55134248531045,67.2893569880023,36.558927564745815,-2.513280537254625,-144.00036751706207
93.0,-53.98230633004539,-41.07560448764402,67.83284367278303,36.6288004767895,-2.4911464787522704,-142.7321793813815
94.0,-53.06161841671665,-42.78669528227313,68.16330862112943,36.67101325519194,-2.4629864908204397,-141.11873092174827
95.0,-52.38642066016189,-44.374031410379196,68.65414578299519,36.733335357694145,-2.4388124467150134,-139.73366022074424
96.0,-51.53877438573311,-46.079664036103686,69.1345116628713,36.79389799034755,-2.412059244807267,-138.20081466296904
97.0,-50.62106831687307,-47.70166643408381,69.55531279586145,36.84660616026504,-2.385877802118581,-136.70072849534367
98.0,-49.603780564029066,-49.35977295347977,69.97801249152066,36.89923207067626,-2.358660116247697,-135.14126996682916
99.0,-48.46456570008513,-51.11384976568969,70.43748835930597,36.95607723234963,-2.3295957615321825,-133.47600510735904
101.0,-46.22791455208168,-54.76832595893175,71.67000496845499,37.10674869153187,-2.2718335111767307,-130.1664719468136
102.0,-45.10485646026105,-56.61205233720538,72.38351018105735,37.19279280100303,-2.2435438141842305,-128.54559170543942
103.0,-43.53719409912864,-58.82720317025781,73.18556621943969,37.28850874429546,-2.207922274372819,-126.50462781448829
104.0,-42.52276734102677,-61.11730776091974,74.45475841262312,37.43784917576165,-2.178668658614901,-124.82851909606218
105.0,-41.68845410694996,-63.611131142068196,76.05460677040327,37.62251050436716,-2.1509332321235983,-123.2393962151152
106.0,-40.165783205321,-66.2664455932926,77.488915027026,37.78479160188995,-2.1157077100610255,-121.22112246978482
107.0,-39.180253297525184,-68.69262891936775,79.08077842505213,37.961418712084296,-2.089144500496668,-119.69916267142561
108.0,-38.2848610499953,-71.35538057318301,80.97728645960687,38.16726439027194,-2.063245183018134,-118.2152410876362
109.0,-37.765145942015614,-74.43522070993944,83.46740879025259,38.43033862450848,-2.0403112980884828,-116.90122627332849
110.0,-37.89390133092663,-77.02027853833837,85.8374688827742,38.67353805929512,-2.028022686858251,-116.19714071375915
111.0,-37.3134427245391,-79.63291416327898,87.9414238348096,38.883869857603486,-2.0089837386515828,-115.10628933514889
112.0,-37.487064446156076,-82.09461209435516,90.24857525586154,39.10880708947046,-1.9991520986403988,-114.5429778568161
113.0,-37.58897233132795,-83.87082752300961,91.90890354214746,39.267151701481666,-1.9921331757403176,-114.14082319791372
114.0,-37.79138567315003,-86.00716092355464,93.94370953516257,39.45735410158243,-1.9847988418347018,-113.72059681958223
115.0,-37.816440904211845,-87.25857647343756,95.10069595346027,39.563673902921046,-1.9797465221827923,-113.43112022677681
116.0,-37.95699823510359,-89.07123653597633,96.82158278538675,39.71944355935106,-1.9736338926077308,-113.08089235039894
117.0,-38.033304785509756,-90.47098925081343,98.14036972076414,39.836953795006195,-1.9687577234223341,-112.80150843588396
118.0,-37.669824688622825,-91.89496140024477,99.31615992789922,39.940398383102725,-1.9598273242685231,-112.2898342550034
119.0,-37.38916239676914,-92.98624713119766,100.22171231961734,40.01923637056545,-1.953106112143113,-111.90473716700524
120.0,-37.41644630374391,-94.07071096668167,101.23877278877848,40.10693744045291,-1.9493599023446309,-111.69009515638166
121.0,-36.53780879003179,-95.3150703467792,102.07827440933939,40.17866639744061,-1.936856182863592,-110.97368480190262
122.0,-35.74908103449659,-96.67106291673056,103.06935141088975,40.262590863006444,-1.9250014273999716,-110.29445734667752
123.0,-35.13110916791797,-98.08762403485885,104.18913964599186,40.35644903615491,-1.9147224712199655,-109.70551653976325
124.0,-34.582339357813346,-99.4303844897099,105.2726914029964,40.44631452510742,-1.9055139444582223,-109.1779068207821
125.0,-33.11911524430573,-101.48599475016019,106.75337430261933,40.56763222529439,-1.8862412970497793,-108.07366546423457
126.0,-32.410690352083854,-102.247120641884,107.26102054639719,40.60883849575566,-1.8777609346634216,-107.58777649075479
127.0,-31.560694535920423,-104.11562674027086,108.79403095349065,40.73210136403098,-1.8651232974588767,-106.86369321591685
128.0,-30.30217143864738,-105.67181925319794,109.9306826058026,40.82237849389584,-1.8500600673964849,-106.00063370750722
129.0,-28.810157245463852,-107.22280194087556,111.02591776950361,40.90848743706445,-1.8332907931761733,-105.03982506918582
130.0,-26.64772491556369,-108.98909004219558,112.19947857009572,40.999816772153956,-1.8105909265426718,-103.73921851557635
131.0,-25.798295150853434,-110.72293414710201,113.68869855369985,41.114345898906855,-1.7997108423589365,-103.11583561110129
132.0,-24.117470568687835,-112.62860401690972,115.18183376483192,41.227679769623194,-1.781743388503299,-102.08637633657719
133.0,-22.372981212191185,-114.62833425433722,116.79128949645653,41.34820907047819,-1.7635515165937152,-101.04405885471544
134.0,-20.836081742495185,-116.3531262123013,118.20402819597842,41.452645536569094,-1.7479943632221486,-100.15269962528697
135.0,-18.88769809165508,-118.57640049322201,120.07126172873546,41.58878148592355,-1.728756465104079,-99.0504492564189
136.0,-16.433368913890224,-119.90137283829469,121.0222906012267,41.65730737220229,-1.707005063692287,-97.80418575702834
137.0,-14.101640968928065,-122.06879711802388,122.88062299588908,41.78966809069388,-1.6858085855487739,-96.58971701886372
138.0,-11.486749759802303,-123.99153384025755,124.5224714021692,41.90495463109833,-1.663174057641023,-95.29285409847853
139.0,-8.3008240085514,-125.73724855042946,126.01094933478366,42.008165668871136,-1.6367178930174788,-93.77702752344612
140.0,-5.293986226153834,-127.73592741580862,127.84558437012768,42.13371465243996,-1.612217392487596,-92.3732522471258
141.0,-2.6003280066675294,-129.57407654656134,129.60016596685514,42.25211115390803,-1.5908619068764733,-91.14967305215612
142.0,0.24101778073263463,-131.59526818294415,131.59548889575063,42.38482003764653,-1.5689648208861402,-89.89506244127499
143.0,3.259184951195834,-133.66452033543766,133.70424930812308,42.52290419935247,-1.5464178360693643,-88.60321537052819
144.0,6.898993384886164,-135.2446545518402,135.4205032281718,42.633688466411996,-1.5198292946682523,-87.07980416483561
145.0,9.870441411864459,-137.29124000347446,137.64559635294066,42.77524643442564,-1.4990256301883644,-85.8878419917318
146.0,13.29772928772021,-139.2519936842869,139.8854794081865,42.91545271153913,-1.4755910263379464,-84.54513809654182
147.0,15.787481010771268,-140.85323468586952,141.73524007154361,43.02955687309945,-1.4591775737530883,-83.60471653619136
148.0,18.784572227911156,-142.55293964826225,143.78525917543394,43.1542872916028,-1.4397785734604258,-82.49323569264875
149.0,22.809095635093765,-143.81932402039436,145.61680124688235,43.26422973413493,-1.413510819500125,-80.98820425343546
151.0,29.520976144531875,-146.8639082819909,149.8015206477793,43.51032443890948,-1.3724307055366243,-78.63448710141043
152.0,33.11650014227527,-148.4298691585567,152.0793498148239,43.641404942424195,-1.3512795375908446,-77.42261444634487
153.0,36.643395812160534,-149.680820756496,154.1008973334839,43.75610335267414,-1.3307080881113456,-76.24395721270298
154.0,40.39573176647532,-150.32327386685645,155.65635808086657,43.843337299347894,-1.308272558717095,-74.95849606727072
